game_id,agent_id,role,model_name,color
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_1,honest,gpt-4o,🔴
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_2,byzantine,gpt-4,🔵
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_3,honest,claude-3-opus-20240229,🟢
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_4,honest,claude-3-haiku-20240307,💗
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_5,byzantine,gpt-4-turbo,🟠
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_6,honest,gpt-4o,🟡
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_7,honest,gpt-4-turbo,⚫
4777e732-d8a0-4726-9e3d-6db78e103a39,Agent_8,honest,gpt-4,⚪
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_1,honest,gpt-4o,🔴
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_2,byzantine,gpt-4,🔵
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_3,honest,claude-3-opus-20240229,🟢
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_4,honest,claude-3-haiku-20240307,💗
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_5,byzantine,gpt-4-turbo,🟠
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_6,honest,gpt-4o,🟡
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_7,honest,gpt-4-turbo,⚫
b37b0088-a9d5-4d09-a2bb-2802e66b388d,Agent_8,honest,gpt-4,⚪
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_1,honest,gpt-4o,🔴
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_2,byzantine,gpt-4,🔵
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_3,honest,claude-3-opus-20240229,🟢
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_4,honest,claude-3-haiku-20240307,💗
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_5,byzantine,gpt-4-turbo,🟠
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_6,honest,gpt-4o,🟡
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_7,honest,gpt-4-turbo,⚫
fd77b319-deee-41ee-a27f-49b9097b8e55,Agent_8,honest,gpt-4,⚪
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_1,honest,gpt-4o,🔴
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_2,byzantine,gpt-4,🔵
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_3,honest,claude-3-opus-20240229,🟢
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_4,honest,claude-3-haiku-20240307,💗
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_5,byzantine,gpt-4-turbo,🟠
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_6,honest,gpt-4o,🟡
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_7,honest,gpt-4-turbo,⚫
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,Agent_8,honest,gpt-4,⚪
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_1,honest,gpt-4o,🔴
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_2,byzantine,gpt-4,🔵
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_3,honest,claude-3-opus-20240229,🟢
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_4,honest,claude-3-haiku-20240307,💗
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_5,byzantine,gpt-4-turbo,🟠
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_6,honest,gpt-4o,🟡
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_7,honest,gpt-4-turbo,⚫
e2ce4154-c3b8-45b0-9dee-328ac6582c68,Agent_8,honest,gpt-4,⚪
